145,Analista,Analista de Expansión
146,Manager,Community Manager
147,Nominas,Aux de Nóminas
148,Proyectista,Proyectista
149,Seguridad e Higiene,Analista de Seguridad e Higiene
150,Auxiliar de IMSS,Auxiliar de IMSS
151,Importaciones,Coordinador de Importaciones y Regulación
152,Ventas,Subgerente de Ventas
153,Coordinador ,Coordinador de Supervision de Tiendas
154,Compras,Coordinador de Compras
155,Sistemas,Operador de Sistemas
156,,Category Manager
157,Laboratorio,Encargado de Almacen
158,Analista,Analista de Información Financiera
159,Obras,Supervisor de Obra
160,Sistemas,Analista de Sistemas
161,Recursos Humanos,Especialista de Seguridad Social
162,Ventas,Asesor Comercial Generador
163,Seguridad e Higiene,Coordinador de Seguridad e Higiene
164,Guadalajara I,Supervisor de Ventas Mayoreo
165,Juridico,Gerente Jurídico
166,Importaciones,Gestor de Tramites
167,Sistemas,Coordinador de Desarrollo y Aplicaciones
168,Almacen,Operador de Apilador 
169,Planeacion,Analista de Planogramas
170,Laboratorio,Quimico de Desarrollo
171,Almacen,Coordinador de Embarques
172,Contraloria,Contralor General
173,Contabilidad,Coordinador de Contabilidad
174,Almacen,Operador de Patin
175,Importaciones,Analista de Asuntos Regulatorios
176,Mercadotecnia,Coordinador Ecommerce
177,Guadalajara I,Jefe Administrativo
178,Laboratorio,Responsable de documentación
179,Obras,Coordinador de Obras y Mantenimiento
180,Obras,Supervisor de Mantenimiento y Obras
181,Contraloría,Auditor de Contraloría
182,Sistemas,Ingeniero en redes y seguridad informatica
183,,Encargado de sucursal
184,,Encargado de sucursal
185,,Coordinador de materias primas y surtido
186,,Operador de Producción Master
187,,Operador de Producción Junior
188,,Auxiliar de mantenimiento
189,,Aux de mantenimiento
190,,Subgerente de logistica
191,,Sub oficial
