1025,PS POLANCO,4140,55 59 10 48 44
1026,PS PLAZA LINDAVISTA ,4317,55 59 10 07 38
1027,PS PLAZA CHIMALHUACAN,4316,55 91 31 33 18
1028,PS TUXTLA GUTIERREZ,4144,96 16 00 11 68
1029,PS MONTERREY 1 (J M MORELOS),4139,81 83 42 39 35
1030,PS QUERETARO (JUAREZ),4125,44 22 14 58 32
1031,PS MERIDA (CALLE 56) ,4121,99 99 23 36 05
1032,PS CHIHUAHUA,4117,61 44 10 57 95
1033,PS VILLA HERMOSA (FCO I MADERO),4146,99 31 31 35 22
1034,PS MONTERREY 2 (CUAHUTEMOC),4148,81 83 72 25 41
1035,PS MERIDA 2 ( CALLE 65),4175,99 99 23 27 46
1036,PS VILLA HERMOSA ( PLAZA AMERICAS),4193,99 33 57 00 64
1037,PS QUERETARO 2 (PATIO),4209,44 22 20 13 55
1038,PS MONTERREY 3 (PATIO LINCOLN),4210,81 11 67 50 44
1039,PS MERIDA 3 (PATIO),4214,99 91 88 16 00
1040,PS CARDENAS,4153,93 73 22 54 17
1041,PS MERIDA 4 (BH CENTER),4205,99 94 06 91 84
1042,PS QUERETARO 3 (PLAZA DE LA MUJER),4179,44 22 41 61 48
1043,PS TAPACHULA,4230,96 21 18 08 34
1044,PS APODACA,4237,81 13 06 23 39
1045,PS MERIDA AMERICAS,4164,99 92 37 86 72
1046,PS MAGNOCENTRO INTERLOMAS,4204, 55 96 88 59 87
1047,PS PLAZA CACHANILLA MEXICALI,4318,68 61 04 09 45
1048,PS TIJUANA INSURGENTES,4320,66 46 83 86 79
1049,PS CITADEL MONTERREY ,4324,81 13 57 47 02 
1050,PS PT VALLE DE CHALCO ,4338,55 51 60 79 63
1051,BARRANCA DEL MUERTO ,4340,55 56 60 37 50
1052,PARQUE LAS ANTENAS ,4344,55 50 88 42 92
1053,PT ZARAGOZA CD JUAREZ,4343,65 62 04 78 63
1054,SENDERO SUR,4346,84 41 11 81 12
1055,PORTAL LOMAS ESTRELLA,4345,55 56 32 51 47
1056,SAN AGUSTIN MTY,4349,81 10 86 98 49
1057,PARQUE TEZONTLE,4351,55 94 39 82 15
1058,PLAZA TEPEYAC,4347,55 55 37 38 95
1059,FITSI MUSEO,4348,55 93 78 04 10
1060,PORTAL CENTENARIO,4355,55 54 23 22 31
1061,FASHION MALL,4356,55 28 39 45 38
1062,VERACRUZ,4135,22 99 32 52 46
1063,PLAZA SENDERO TOLUCA,4183,72 23 17 32 80
1064,COACALCO (LAS FLORES),4192,55 58 01 01 43
1065,PLAZA COACALCO,4116,55 26 00 23 87
1066,TUXPAN,4220,78 38 35 42 37
1067,TULTITLAN (PLAZA JARDINES),4114,55 10 39 57 83
1068,CORDOBA VERACRUZ,4149,27 11 17 03 20
1069,CUAUTITLAN IZCALLI (PLAZA FIESTA),4222,55 11 13 03 05
1070,XALAPA,4223,22 86 88 89 78
1071,HUIPULCO,4225,55 56 55 06 38
1072,ORIZABA,4226,27 27 21 47 83
1073,POZA RICA,4126,78 21 19 36 35
1074,MINATITLAN,4189,92 21 17 12 77
1075,COATZACOALCOS,4213,92 13 22 06 59
1076,BOCA DEL RIO AMERICAS,4138,22 91 65 37 10
1077,ENCUENTRO FORTUNA,4156,55 91 30 62 90
1078,XALAPA PLAZA CRYSTAL,4160,22 88 11 72 02
1079,MULTIPLAZA SANTÍN,4168,72 22 38 88 23
1080,FORUM COATZACOALCOS,4350,91 12 19 13 78
1081,MOCAMBO,4358,22 96 88  38 46
